compound_name,retention_time,smiles,split_index
Chrysanthellin B,5.79,CC1OC(OC2C(O)COC(OC3C(C)OC(OC4C(O)C(O)COC4OC(=O)C56CCC(C)(C)CC5C7=CCC8C9(C)CCC(OC%10OC(CO)C(O)C(O)C%10O)C(C)(CO)C9CCC8(C)C7(C)CC6O)C(O)C3O)C2O)C(O)C(O)C1O,1
Lyalosidic acid,3.72,OCC1OC(OC2OC=C(C(CC3=NC=CC4=C3NC5=C4C=CC=C5)C2C=C)C(O)=O)C(O)C(O)C1O,1
Isohernandezine,4.41,COC1=CC=C2CC3N(C)CCC4=C3C(OC5=CC6=C(CCN(C)C6CC7=CC=C(OC1=C2)C=C7)C=C5OC)=C(OC)C(OC)=C4OC,1
trans-pterostilbene,8.02,COC1=CC(C=CC2=CC=C(O)C=C2)=CC(OC)=C1,2
E-Resveratrol trimethyl ether,9.6,COC1=CC=C(C=CC2=CC(OC)=CC(OC)=C2)C=C1,1
Triacetyl resveratrol,8.46,CC(=O)OC1=CC=C(C=CC2=CC(OC(C)=O)=CC(OC(C)=O)=C2)C=C1,1
trans-piceid,4.05,OCC1OC(OC2=CC(C=CC3=CC=C(O)C=C3)=CC(O)=C2)C(O)C(O)C1O,1
Pseudojervine,4.01,CC1C2NCC(C)CC2OC13CCC4C5CC=C6CC(CCC6(C)C5C(=O)C4=C3C)OC7OC(CO)C(O)C(O)C7O,1
Digitonin,6.99,CC1C2C(OC13CCC(C)CO3)C(O)C4C5CCC6CC(OC7OC(CO)C(OC8OC(CO)C(O)C(OC9OCC(O)C(O)C9O)C8OC%10OC(CO)C(O)C(OC%11OC(CO)C(O)C(O)C%11O)C%10O)C(O)C7O)C(O)CC6(C)C5CCC24C,1
N-Acetylsolasodine,7.36,CC1C2C(CC3C4CC=C5CC(O)CCC5(C)C4CCC23C)OC16CCC(C)CN6C(C)=O,1
O-Acetylsolasodine,8.16,CC1C2C(CC3C4CC=C5CC(CCC5(C)C4CCC23C)OC(C)=O)OC16CCC(C)CN6,1
Bergenin,2.86,COC1=C(O)C2=C(C=C1O)C(=O)OC3C(O)C(O)C(CO)OC23,1
Hydrocotarnine,3.33,COC1=C2CN(C)CCC2=CC3=C1OCO3,1
4-Aminoantipyrin,2.76,CN1N(C(=O)C(N)=C1C)C2=CC=CC=C2,1
Vanillin acetate,5.59,COC1=C(OC(C)=O)C=CC(C=O)=C1,1
4-Hydroxyquinoline,2.93,OC1=CC=NC2=C1C=CC=C2,2
Schizandrin,7.59,COC1=CC2=C(C(OC)=C1OC)C3=C(OC)C(OC)=C(OC)C=C3CC(C)(O)C(C)C2,1
Iso-gamma-fagarine,5.59,COC1=CC=CC2=C1N(C)C3=C(C=CO3)C2=O,1
Atractylenolide III,7.91,CC1=C2CC3C(=C)CCCC3(C)CC2(O)OC1=O,1
Amygdalin,3.32,OCC1OC(OCC2OC(OC(C#N)C3=CC=CC=C3)C(O)C(O)C2O)C(O)C(O)C1O,1
Procaine,2.75,CCN(CC)CCOC(=O)C1=CC=C(N)C=C1,1
Aristolochic acid B,7.55,OC(=O)C1=CC2=C(OCO2)C3=C1C(=CC4=CC=CC=C34)[N+]([O-])=O,1
Aristolochic acid C,5.96,OC(=O)C1=CC2=C(OCO2)C3=C1C(=CC4=CC=C(O)C=C34)[N+]([O-])=O,1
Gallic acid,2.04,OC(=O)C1=CC(O)=C(O)C(O)=C1,1
Oxyacanthine,3.76,COC1=CC2=C3C(CC4=CC=C(OC5=CC(CC6N(C)CCC7=CC(OC)=C(OC3=C1OC)C=C67)=CC=C5O)C=C4)N(C)CC2,1
Thalsimidine,3.96,COC1=CC=C2CC3N(C)CCC4=C(O)C(OC)=C(OC)C(OC5=C(OC)C=C6CCN=C(CC7=CC=C(OC1=C2)C=C7)C6=C5)=C34,1
"(S,S)-(+)-Tetrandrine",4.19,COC1=CC=C2CC3N(C)CCC4=C3C(OC5=CC6=C(CCN(C)C6CC7=CC=C(OC1=C2)C=C7)C=C5OC)=C(OC)C(OC)=C4,1
Enterolactone,6.18,OC1=CC(CC2COC(=O)C2CC3=CC(O)=CC=C3)=CC=C1,1
Matairesinol,5.96,COC1=CC(CC2COC(=O)C2CC3=CC=C(O)C(OC)=C3)=CC=C1O,1
Arctigenin,6.63,COC1=CC=C(CC2COC(=O)C2CC3=CC=C(O)C(OC)=C3)C=C1OC,1
Enterodiol,5.26,OCC(CC1=CC(O)=CC=C1)C(CO)CC2=CC(O)=CC=C2,1
Secoisolariciresinol,4.76,COC1=CC(CC(CO)C(CO)CC2=CC=C(O)C(OC)=C2)=CC=C1O,1
Justicidin G,8.93,COC1=C2OCOC2=CC3=C(C4=C(C=C13)C(=O)OC4)C5=CC6=C(OCO6)C=C5,1
Gelsenicine,3.99,CCC1=NC2CC3(C4CC1C2CO4)C(=O)N(OC)C5=C3C=CC=C5,1
Koumine,3.58,CN1CC2(C=C)C3CC4OCC3C1CC25C4=NC6=CC=CC=C56,1
Gardneramine,3.82,COCC=C1CN2C3CC45C2CC1C3COC4=NC6=C5C(OC)=C(OC)C=C6OC,1
Gentiopicroside,3.44,OCC1OC(OC2OC=C3C(=O)OCC=C3C2C=C)C(O)C(O)C1O,1
Swertiamarin,3.2,OCC1OC(OC2OC=C3C(=O)OCCC3(O)C2C=C)C(O)C(O)C1O,1
1-Isothiocyanato-4-(methylsulfinyl)-butane,3.69,CS(=O)CCCCN=C=S,2
1-Methylsulfinylbutenyl isothiocyante,3.77,CS(=O)C=CCCN=C=S,1
7-Methylsulfenylheptyl isothiocyanate,9.19,CSCCCCCCCN=C=S,1
Ginkgolide B,5.36,CC1C(=O)OC2C(O)C34C5CC(C(C)(C)C)C36C(O)C(=O)OC6OC4(C(=O)O5)C12O,1
Ginkgolide C,4.33,CC1C(=O)OC2C(O)C34C5OC(=O)C3(OC6OC(=O)C(O)C46C(C5O)C(C)(C)C)C12O,1
Gossypetin-8-C-glucoside,4.64,OCC1OC(OC2=C(O)C=C(O)C3=C2OC(=C(O)C3=O)C4=CC=C(O)C(O)=C4)C(O)C(O)C1O,1
isosakuranetin-7-O-neohesperidoside,5.42,COC1=CC=C(C=C1)C2CC(=O)C3=C(O2)C=C(OC4OC(CO)C(O)C(O)C4OC5OC(C)C(O)C(O)C5O)C=C3O,1
isosakuranetin-7-O-rutinoside,5.33,COC1=CC=C(C=C1)C2CC(=O)C3=C(O)C=C(OC4OC(COC5OC(C)C(O)C(O)C5O)C(O)C(O)C4O)C=C3O2,1
Icariin,5.43,COC1=CC=C(C=C1)C2=C(OC3OC(C)C(O)C(O)C3O)C(=O)C4=C(O2)C(CC=C(C)C)=C(OC5OC(CO)C(O)C(O)C5O)C=C4O,1
Myricetin-3-O-xyloside,3.9,OC1COC(OC2=C(OC3=CC(O)=CC(O)=C3C2=O)C4=CC(O)=C(O)C(O)=C4)C(O)C1O,1
Quercetin-3-O-vicianoside,3.7,OC1COC(OCC2OC(OC3=C(OC4=CC(O)=CC(O)=C4C3=O)C5=CC(O)=C(O)C=C5)C(O)C(O)C2O)C(O)C1O,1
Quercetin 3-O-[2''-O-(6'''-O-p-coumaroyl)-b-D-glucopyranosyl]-a-L-rhamnopyranoside,4.67,CC1OC(OC2=C(OC3=CC(O)=CC(O)=C3C2=O)C4=CC(O)=C(O)C=C4)C(OC5OC(COC(=O)C=CC6=CC=C(O)C=C6)C(O)C(O)C5O)C(O)C1O,1
7-O-Methylquercetin-3-O-galactoside-6''-rhamnoside,4.79,COC1=CC2=C(C(O)=C1)C(=O)C(OC3OC(COC4OC(C)C(O)C(OC5OC(C)C(O)C(O)C5O)C4O)C(O)C(O)C3O)=C(O2)C6=CC=C(O)C(O)=C6,1
Kaempferol-3-O-glucuronoside,4.34,OC1C(O)C(OC2=C(OC3=CC(O)=CC(O)=C3C2=O)C4=CC=C(O)C=C4)OC(C1O)C(O)=O,1
Kaempferol-3-O-glucoside-6''-p-coumaroyl,5.21,OC1C(COC(=O)C=CC2=CC=C(O)C=C2)OC(OC3=C(OC4=C(C(O)=CC(O)=C4)C3=O)C5=CC=C(O)C=C5)C(O)C1O,1
Apigenin-7-O-neohesperidoside,4.34,CC1OC(OC2C(O)C(O)C(CO)OC2OC3=CC(O)=C4C(=O)C=C(OC4=C3)C5=CC=C(O)C=C5)C(O)C(O)C1O,1
Acacetin-7-O-rutinoside,5.19,COC1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C=C(OC4OC(COC5OC(C)C(O)C(O)C5O)C(O)C(O)C4O)C=C3O,1
Acacetin-7-O-neohesperidoside,5.26,COC1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C=C(OC4OC(CO)C(O)C(O)C4OC5OC(C)C(O)C(O)C5O)C=C3O,2
Flavone,7.75,O=C1C=C(OC2=C1C=CC=C2)C3=CC=CC=C3,1
Baicalein,6.4,OC1=C(O)C(O)=C2C(=O)C=C(OC2=C1)C3=CC=CC=C3,1
Wogonin,7.27,COC1=C(O)C=C(O)C2=C1OC(=CC2=O)C3=CC=CC=C3,1
Acacetin,7.38,COC1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C=C(O)C=C3O,1
Eriodictyol-7-O-glucoside,4.09,OCC1OC(OC2=CC(O)=C3C(=O)CC(OC3=C2)C4=CC(O)=C(O)C=C4)C(O)C(O)C1O,1
Naringenin-7-O-rutinoside,4.28,CC1OC(OCC2OC(OC3=CC4=C(C(=O)CC(O4)C5=CC=C(O)C=C5)C(O)=C3)C(O)C(O)C2O)C(O)C(O)C1O,1
Naringin,4.38,CC1OC(OC2C(O)C(O)C(CO)OC2OC3=CC(O)=C4C(=O)CC(OC4=C3)C5=CC=C(O)C=C5)C(O)C(O)C1O,1
Hesperetin-7-O-neohesperidoside,4.59,COC1=C(O)C=C(C=C1)C2CC(=O)C3=C(O)C=C(OC4OC(CO)C(O)C(O)C4OC5OC(C)C(O)C(O)C5O)C=C3O2,1
Hesperetin-7-O-rutinoside,4.51,COC1=C(O)C=C(C=C1)C2CC(=O)C3=C(O2)C=C(OC4OC(COC5OC(C)C(O)C(O)C5O)C(O)C(O)C4O)C=C3O,1
Flavanone,8.5,O=C1CC(OC2=C1C=CC=C2)C3=CC=CC=C3,1
2'-Hydroxyflavanone,7.45,OC1=C(C=CC=C1)C2CC(=O)C3=C(O2)C=CC=C3,1
Liquiritin,4.08,O=C1C=2C=CC(O)=CC2OC(C3=CC=C(OC4OC(CO)C(O)C(O)C4O)C=C3)C1,1
(+)-Epicatechin,3.44,OC1CC2=C(OC1C3=CC(O)=C(O)C=C3)C=C(O)C=C2O,1
Osthole,8.75,COC1=CC=C2C=CC(=O)OC2=C1CC=C(C)C,1
Isofraxidin,4.28,COC1=CC2=C(OC(=O)C=C2)C(OC)=C1O,1
3-Methoxycinnamic acid,6.03,COC1=CC=CC(C=CC(O)=O)=C1,1
"3,4-Dimethoxycinnamic acid",5.18,COC1=C(OC)C=C(C=CC(O)=O)C=C1,1
"3,5-Dimethoxycinnamic acid",6.26,COC1=CC(C=CC(O)=O)=CC(OC)=C1,1
3-Hydroxycinnamic acid,4.42,OC(=O)C=CC1=CC=CC(O)=C1,2
Piperlongumine,6.83,COC1=CC(C=CC(=O)N2CCC=CC2=O)=CC(OC)=C1OC,1
cis-Cinnamic acid,5.42,OC(=O)C=CC1=CC=CC=C1,1
Chalcone,9.02,O=C(C=CC1=CC=CC=C1)C2=CC=CC=C2,1
"2',6'-Dihydroxy-4-methoxychalcone-4'-O-neohesperid",5.42,COC1=CC=C(C=CC(=O)C2=C(O)C=C(OC3OC(CO)C(O)C(O)C3OC4OC(C)C(O)C(O)C4O)C=C2O)C=C1,1
Dihydrohesperetin-7-O-neohesperidoside,5.07,COC1=C(O)C=C(CCC(=O)C2=C(O)C=C(OC3OC(CO)C(O)C(O)C3OC4OC(C)C(O)C(O)C4O)C=C2O)C=C1,1
Ellipticine,4.93,CC1=C2C=CN=CC2=C(C)C3=C1NC4=C3C=CC=C4,1
9-Nitro-20(S)-camptothecin,5.87,CCC1(O)C(=O)OCC2=C1C=C3N(CC4=CC5=C(C=CC=C5N(=O)=O)N=C34)C2=O,1
L-Oxonoreleagnine,5.53,O=C1NCCC2=C1NC3=CC=CC=C23,1
Sempervirine,5.23,C1CCC2=C[N+]3=C(C=C2C1)C4=C(C=C3)C5=C([N-]4)C=CC=C5,1
Evodiamine,7.77,CN1C2N(CCC3=C2NC4=C3C=CC=C4)C(=O)C5=C1C=CC=C5,1
Resibufogenin,7.56,CC12CCC3C(CCC4CC(O)CCC34C)C15OC5CC2C6=COC(=O)C=C6,2
Cinobufagin,7.51,CC(=O)OC1C2OC23C4CCC5CC(O)CCC5(C)C4CCC3(C)C1C6=COC(=O)C=C6,1
Magnolol,9.21,OC1=CC=C(CC=C)C=C1C2=CC(CC=C)=CC=C2O,1
Honokiol,8.63,OC1=CC=C(C=C1CC=C)C2=C(O)C=CC(CC=C)=C2,2
Procyanidin B2,3.24,OC1CC2=C(OC1C3=CC=C(O)C(O)=C3)C(C4C(O)C(OC5=CC(O)=CC(O)=C45)C6=CC=C(O)C(O)=C6)=C(O)C=C2O,1
epsilon-Viniferin,5.81,OC1=CC=C(C=CC2=CC(O)=CC3=C2C(C(O3)C4=CC=C(O)C=C4)C5=CC(O)=CC(O)=C5)C=C1,1
Cyanidin-3-O-alpha-arabinoside,3.01,OC1COC(OC2=CC3=C(C=C(O)C=C3O)[O+]=C2C4=CC=C(O)C(O)=C4)C(O)C1O,1
"Pelargonidin-3,5-di-beta-D-glucoside",2.71,OCC1OC(OC2=CC(O)=CC3=C2C=C(OC4OC(CO)C(O)C(O)C4O)C(=[O+]3)C5=CC=C(O)C=C5)C(O)C(O)C1O,1
"Cyanidin-3,5-di-O-glucoside",2.5,OCC1OC(OC2=CC(O)=CC3=[O+]C(=C(OC4OC(CO)C(O)C(O)C4O)C=C23)C5=CC(O)=C(O)C=C5)C(O)C(O)C1O,1
Cyanidin-3-O-sambubioside-5-O-glucoside,2.49,OCC1OC(OC2=CC(O)=CC3=[O+]C(=C(OC4OC(CO)C(O)C(O)C4OC5OCC(O)C(O)C5O)C=C23)C6=CC(O)=C(O)C=C6)C(O)C(O)C1O,1
Malvidin-3-O-galactoside,3.16,COC1=CC(=CC(OC)=C1O)C2=[O+]C3=CC(O)=CC(O)=C3C=C2OC4OC(CO)C(O)C(O)C4O,1
Delphinidin-3-O-sambubioside,2.65,OCC1OC(OC2=CC3=C(O)C=C(O)C=C3[O+]=C2C4=CC(O)=C(O)C(O)=C4)C(OC5OCC(O)C(O)C5O)C(O)C1O,2
Cyanidin 3-(2G-glucosylrutinoside),2.75,CC1OC(OCC2OC(OC3=C([O+]=C4C=C(O)C=C(O)C4=C3)C5=CC(O)=C(O)C=C5)C(OC6OC(CO)C(O)C(O)C6O)C(O)C2O)C(O)C(O)C1O,2
Indole-3-acetyl-L-phenylalanine,6.34,OC(CC1=CNC2=CC=CC=C12)=NC(CC3=CC=CC=C3)C(O)=O,1
Captopril,4.05,CC(CS)C(=O)N1CCCC1C(O)=O,1
Indole-3-acetyl-L-valine,5.61,CC(C)C(NC(=O)CC1=CNC2=CC=CC=C12)C(O)=O,1
Indole-3-acetyl-L-tryptophan,6.19,OC(CC1=CNC2=CC=CC=C12)=NC(CC3=CNC4=CC=CC=C34)C(O)=O,1
Indole-3-acetyl-L-leucine,6.2,CC(C)CC(NC(=O)CC1=CNC2=C1C=CC=C2)C(O)=O,1
Kainic acid,2.44,CC(=C)C1CNC(C1CC(O)=O)C(O)=O,1
Indole-3-acetyl-L-isoleucine,6.14,CCC(C)C(N=C(O)CC1=CNC2=CC=CC=C12)C(O)=O,1
12-Cytisineacetamide,2.18,NC(=O)CN1CC2CC(C1)C3=CC=CC(=O)N3C2,2
Tetrahydroalstonine,4.87,COC(=O)C1=COC(C)C2CN3CCC4=C(NC5=C4C=CC=C5)C3CC12,1
Corynanthine,4.35,COC(=O)C1C(O)CCC2CN3CCC4=C(NC5=C4C=CC=C5)C3CC12,1
Isoreserpin,6.12,COC1C(CC2CN3CCC4=C(NC5=C4C=CC(OC)=C5)C3CC2C1C(=O)OC)OC(=O)C6=CC(OC)=C(OC)C(OC)=C6,1
Syrosingopine,6.72,CCOC(=O)OC1=C(OC)C=C(C=C1OC)C(=O)OC2CC3CN4CCC5=C(NC6=CC(OC)=CC=C56)C4CC3C(C2OC)C(=O)OC,2
Homatropine,3.15,CN1C2CCC1CC(C2)OC(=O)C(O)C3=CC=CC=C3,1
Hyoscyamine,3.59,CN1C2CCC1CC(C2)OC(=O)C(CO)C3=CC=CC=C3,1
Vincanidine,3.38,CC=C1CN2CCC34C2CC1C(C=O)=C3NC5=C4C=CC=C5O,1
Strychnine,3.46,O=C1CC2OCC=C3CN4CCC56C4CC3C2C5N1C7=CC=CC=C67,1
19S-Methoxytubotaiwine,4.55,COC(C)C1C2N3CCC24C(NC5=C4C=CC=C5)=C(C1CC3)C(=O)OC,1
Sparteine,2.33,C1CCN2CC3CC(CN4CCCCC34)C2C1,1
Deoxyvasicinone,3.94,O=C1N2CCCC2=NC3=C1C=CC=C3,1
Sanguinarine,4.85,C[N+]1=CC2=C(C=CC3=C2OCO3)C4=C1C5=C(C=C4)C=C6OCOC6=C5,1
Physostigmine,3.31,CNC(=O)OC1=CC=C2N(C)C3N(C)CCC3(C)C2=C1,1
Viridiflorine,3.05,CC(C)C(O)(C(C)O)C(=O)OCC1CCN2CCCC12,1
Trachelanthine,3.11,CC(C)C(O)(C(C)O)C(=O)OCC1CC[N+]2([O-])CCCC12,1
Palmatine,4.96,COC1=CC2=C(C=C1OC)C3=CC4=CC=C(OC)C(OC)=C4C=[N+]3CC2,1
Dehydrocorydaline,5.19,COC1=CC2=C(C=C1OC)C3=C(C)C4=C(C=[N+]3CC2)C(OC)=C(OC)C=C4,2
(+)-Corydaline,4.86,COC1=C(OC)C=C2C3C(C)C4=C(CN3CCC2=C1)C(OC)=C(OC)C=C4,1
(-)-Podophyllotoxin,6.26,COC1=CC(=CC(OC)=C1OC)C2C3C(COC3=O)C(O)C4=C2C=C5OCOC5=C4,1
Etoposide,5.4,COC1=CC(=CC(OC)=C1O)C2C3C(COC3=O)C(OC4OC5COC(C)OC5C(O)C4O)C6=C2C=C7OCOC7=C6,1
Tabersonine,5.2,CCC12CC(C(=O)OC)=C3NC4=CC=CC=C4C35CCN(CC=C1)C25,1
Neocuproine,3.47,CC1=NC2=C(C=C1)C=CC3=C2N=C(C)C=C3,1
Ormosanine,2.24,C1CCC(NC1)C23CC(CC4CCCNC24)C5CCCCN5C3,1
Napelline,3.05,CCN1CC2(C)CCC(O)C34C1C(CC23)C56CC(C(O)CC45)C(=C)C6O,1
Sinomenine,3.03,COC1=CC2C3CC4=C(C(O)=C(OC)C=C4)C2(CCN3C)CC1=O,1
Convolidine,3.27,COC1=C(O)C=CC(=C1)C(=O)OC2CC3CCC(C2)N3,1
Matrine,2.26,O=C1CCCC2C3CCCN4CCCC(CN12)C34,1
Koumidine,3.58,CC=C1CN2C3CC4=C(NC5=CC=CC=C45)C2CC1C3CO,2
Gardnutine,4.42,COC1=CC=C2C(NC3=C2C4OCC5C4N6CC(=CC)C5CC36)=C1,1
Gardnerine,3.68,COC1=CC=C2C(NC3=C2CC4C(CO)C5CC3N4CC5=CC)=C1,1
Senecionine,3.8,CC=C1CC(C)C(C)(O)C(=O)OCC2=CCN3CCC(OC1=O)C23,1
Retrorsine,3.23,CC=C1CC(C)C(O)(CO)C(=O)OCC2=CCN3CCC(OC1=O)C23,1
Puberanidine,4.95,CCN1CC2(CCC(OC)C34C5CC6C(OC)C5(O)C(O)(CC6OC)C(CC23)C14)OC(=O)C7=C(N)C=CC=C7,1
Coralyne,5.27,COC1=CC2=CC3=[N+](C=CC4=CC(OC)=C(OC)C=C34)C(C)=C2C=C1OC,1
Isoformosanine,4.42,COC(=O)C1=COC(C)C2CN3CCC4(C3CC12)C(=O)NC5=C4C=CC=C5,1
Rhynchophylline,4.9,CCC1CN2CCC3(C2CC1C(=COC)C(=O)OC)C(=O)NC4=CC=CC=C34,1
Isomajdine,4.48,COC(=O)C1=COC(C)C2CN3CCC4(C3CC12)C(=O)NC5=C4C=CC(OC)=C5OC,1
Catharanthine,5.04,CCC1=CC2CN3CCC4=C(NC5=C4C=CC=C5)C(C2)(C13)C(=O)OC,1
7alpha-Voacangine hydroxyindolenine,4.01,CCC1CC2CN3CCC4(O)C5=CC(OC)=CC=C5N=C4C(C2)(C13)C(=O)OC,2
(+)-Chelidonine,4.53,CN1CC2=C3OCOC3=CC=C2C4C(O)CC5=CC6=C(OCO6)C=C5C14,1
Ethylbeta-carboline,4.01,CCC1=NC=CC2=C1NC3=CC=CC=C23,1
Harmol,3.18,CC1=C2NC3=C(C=CC(O)=C3)C2=CC=N1,1
Harmalol,3.06,CC1=C2NC3=CC(=O)C=CC3=C2CCN1,1
Harmine,4.11,COC1=CC=C2C(NC3=C2C=CN=C3C)=C1,1
Gelsemine,3.21,CN1CC2(C=C)C3CC4OCC3C1C2C45C(=O)NC6=C5C=CC=C6,1
Gelsevirine,4.05,CON1C(=O)C2(C3C4C5COC2CC5C3(CN4C)C=C)C6=C1C=CC=C6,1
Humantenine,4.63,CON1C(=O)C2(CC3C4COC2CC4C(CN3C)=CC)C5=C1C=CC=C5,1
Cephaeline,2.98,CCC1CN2CCC3=CC(OC)=C(OC)C=C3C2CC1CC4NCCC5=CC(O)=C(OC)C=C45,2
Emetine,3.41,CCC1CN2CCC3=CC(OC)=C(OC)C=C3C2CC1CC4NCCC5=CC(OC)=C(OC)C=C45,1
(-)-Eburnamonine,4.65,CCC12CCCN3CCC4=C(C13)N(C5=C4C=CC=C5)C(=O)C2,1
Vincamine,4.5,CCC12CCCN3CCC4=C(C13)N(C5=C4C=CC=C5)C(O)(C2)C(=O)OC,1
(+)-Tubocurarine chloride,3.41,COC1=C(O)C2=C3C(CC4=CC(OC5=C(OC)C=C6CCN(C)C(CC7=CC=C(O2)C=C7)C6=C5)=C(O)C=C4)[N+](C)(C)CCC3=C1,2
Yohimbic Acid,3.82,OC1CCC2CN3CCC4=C(NC5=C4C=CC=C5)C3CC2C1C(O)=O,1
Hirsuteine,5.68,COC=C(C1CC2N(CCC3=C2NC4=CC=CC=C34)CC1C=C)C(=O)OC,1
Hirsutine,5.85,CCC1CN2CCC3=C(NC4=CC=CC=C34)C2CC1C(=COC)C(=O)OC,1
Mitragynine,5.54,CCC1CN2CCC3=C(NC4=C3C(OC)=CC=C4)C2CC1C(=COC)C(=O)OC,1
Reserpic acid,3.89,COC1C(O)CC2CN3CCC4=C(NC5=C4C=CC(OC)=C5)C3CC2C1C(O)=O,2
Conessine,3.35,CC1C2CCC3C4CC=C5CC(CCC5(C)C4CCC23CN1C)N(C)C,2
Cinchonine,3.09,OC(C1CC2CCN1CC2C=C)C3=CC=NC4=CC=CC=C34,1
Germbudine,4.65,CCC(C)C(=O)OC1C(O)C2C(CN3CC(C)CCC3C2(C)O)C4CC56OC7(O)C(CC(O)C5C14O)C6(C)CCC7OC(=O)C(C)(O)C(C)O,1
Germinaline,5.04,CCC(C)C(=O)OC1C(O)C2C(CN3CC(C)CCC3C2(C)O)C4CC56OC7(O)C(CC(O)C5C14O)C6(C)CCC7OC(=O)C(C)(O)C(C)OC(C)=O,1
Anabasamine,2.37,CN1CCCCC1C2=CN=C(C=C2)C3=CN=CC=C3,1
Papaverine,4.49,COC1=CC=C(CC2=NC=CC3=CC(OC)=C(OC)C=C23)C=C1OC,1
Laudanosine,4.26,COC1=CC=C(CC2N(C)CCC3=C2C=C(OC)C(OC)=C3)C=C1OC,1
Hetisine,3.07,CC12CN3C4CC56CC(=C)C7C(O)C5C3C(CC(O)C1)(C24)C6C7O,1
Guan-fu base Y,3.03,CC(=O)OC1CC2(C)CN3C4CC56CC(=C)C7C(O)C5C(C1)(C24)C3C6(O)C7O,2
Subsessiline,5.79,COC(=O)C1=C2NC3=C(C=CC=C3)C24CCN5C4C6(CCOC6C78CC9CC%10%11CCOC%10CCN%12CCC%13(C%11%12)C%14=C(N(C7)C9%13OC58)C(OC)=CC=C%14)C1,1
Kopsinine,3.92,COC(=O)C1CC23CCCN4CCC5(C24)C6=CC=CC=C6NC15CC3,1
