compound,rt,inchi
sinapyl alcohol,23.6,"InChI=1S/C11H14O4/c1-14-9-6-8(4-3-5-12)7-10(15-2)11(9)13/h3-4,6-7,12-13H,5H2,1-2H3"
sinensetin,39.3,"InChI=1S/C20H20O7/c1-22-13-7-6-11(8-15(13)23-2)14-9-12(21)18-16(27-14)10-17(24-3)19(25-4)20(18)26-5/h6-10H,1-5H3"
sophorose ,1.6400000000000001,"InChI=1S/C12H22O11/c13-1-3-6(16)8(18)10(11(20)21-3)23-12-9(19)7(17)5(15)4(2-14)22-12/h3-20H,1-2H2/t3-,4-,5-,6-,7+,8+,9-,10-,11+,12+/m1/s1"
sorbic acid,25.0607,"InChI=1S/C6H8O2/c1-2-3-4-5-6(7)8/h2-5H,1H3,(H,7,8)"
spermine,0.98,"InChI=1S/C10H26N4/c11-5-3-9-13-7-1-2-8-14-10-4-6-12/h13-14H,1-12H2"
stachyose,2.4,"InChI=1S/C24H42O21/c25-1-6-10(28)14(32)17(35)21(41-6)39-3-8-11(29)15(33)18(36)22(42-8)40-4-9-12(30)16(34)19(37)23(43-9)45-24(5-27)20(38)13(31)7(2-26)44-24/h6-23,25-38H,1-5H2"
succinic acid,4.975,"InChI=1S/C4H6O4/c5-3(6)1-2-4(7)8/h1-2H2,(H,5,6)(H,7,8)"
sucrose,1.9,"InChI=1S/C12H22O11/c13-1-4-6(16)8(18)9(19)11(21-4)23-12(3-15)10(20)7(17)5(2-14)22-12/h4-11,13-20H,1-3H2"
syringaldazine,35.49,"InChI=1S/C18H20N2O6/c1-23-13-5-11(6-14(24-2)17(13)21)9-19-20-10-12-7-15(25-3)18(22)16(8-12)26-4/h5-10,21-22H,1-4H3"
syringaldehyde,23.5,"InChI=1S/C9H10O4/c1-12-7-3-6(5-10)4-8(13-2)9(7)11/h3-5,11H,1-2H3"
syringetin,37.4,"InChI=1S/C17H14O8/c1-23-11-3-7(4-12(24-2)14(11)20)17-16(22)15(21)13-9(19)5-8(18)6-10(13)25-17/h3-6,18-20,22H,1-2H3"
syringetin-3-galactoside,31.5675,"InChI=1S/C23H24O13/c1-32-12-3-8(4-13(33-2)16(12)27)21-22(18(29)15-10(26)5-9(25)6-11(15)34-21)36-23-20(31)19(30)17(28)14(7-24)35-23/h3-6,14,17,19-20,23-28,30-31H,7H2,1-2H3"
taurocholic acid,42.3,"InChI=1S/C26H45NO7S/c1-15(4-7-23(31)27-10-11-35(32,33)34)18-5-6-19-24-20(14-22(30)26(18,19)3)25(2)9-8-17(28)12-16(25)13-21(24)29/h15-22,24,28-30H,4-14H2,1-3H3,(H,27,31)(H,32,33,34)"
tert-butylhydroquinone,30.5,"InChI=1S/C10H14O2/c1-10(2,3)8-6-7(11)4-5-9(8)12/h4-6,11-12H,1-3H3"
theobromine,15.3,"InChI=1S/C7H8N4O2/c1-10-3-8-5-4(10)6(12)9-7(13)11(5)2/h3H,1-2H3,(H,9,12,13)"
theophylline,17.8,"InChI=1S/C7H8N4O2/c1-10-5-4(8-3-9-5)6(12)11(2)7(10)13/h3H,1-2H3,(H,8,9)"
thiamine,1.6,"InChI=1S/C12H17N4OS/c1-8-11(3-4-17)18-7-16(8)6-10-5-14-9(2)15-12(10)13/h5,7,17H,3-4,6H2,1-2H3,(H2,13,14,15)"
threonic acid,1.45,"InChI=1S/C4H8O5/c5-1-2(6)3(7)4(8)9/h2-3,5-7H,1H2,(H,8,9)"
trans-terpin,27.9,"InChI=1S/C10H20O2/c1-9(2,11)8-4-6-10(3,12)7-5-8/h8,11-12H,4-7H2,1-3H3"
trigonelline,1.6700000000000002,"InChI=1S/C7H7NO2/c1-8-4-2-3-6(5-8)7(9)10/h2-5H,1H3"
trypthophol,26.215,"InChI=1S/C10H11NO/c12-6-5-8-7-11-10-4-2-1-3-9(8)10/h1-4,7,11-12H,5-6H2"
tyramine,6.2,"InChI=1S/C8H11NO/c9-6-5-7-1-3-8(10)4-2-7/h1-4,10H,5-6,9H2"
tyrosol,17.5,"InChI=1S/C8H10O2/c9-6-5-7-1-3-8(10)4-2-7/h1-4,9-10H,5-6H2"
umbelliferone,23.9,"InChI=1S/C9H6O3/c10-7-3-1-6-2-4-9(11)12-8(6)5-7/h1-5,10H"
uracil,2.975,"InChI=1S/C4H4N2O2/c7-3-1-2-5-4(8)6-3/h1-2H,(H2,5,6,7,8)"
uric acid,1.62,"InChI=1S/C5H4N4O3/c10-3-1-2(7-4(11)6-1)8-5(12)9-3/h(H4,6,7,8,9,10,11,12)"
uridine,7.005,"InChI=1S/C9H12N2O6/c12-3-4-6(14)7(15)8(17-4)11-2-1-5(13)10-9(11)16/h1-2,4,6-8,12,14-15H,3H2,(H,10,13,16)"
ursolic acid,53.6,"InChI=1S/C30H48O3/c1-18-10-15-30(25(32)33)17-16-28(6)20(24(30)19(18)2)8-9-22-27(5)13-12-23(31)26(3,4)21(27)11-14-29(22,28)7/h8,18-19,21-24,31H,9-17H2,1-7H3,(H,32,33)"
vanillic acid,20.3,"InChI=1S/C8H8O4/c1-12-7-4-5(8(10)11)2-3-6(7)9/h2-4,9H,1H3,(H,10,11)"
vanillin,21.505,"InChI=1S/C8H8O3/c1-11-8-4-6(5-9)2-3-7(8)10/h2-5,10H,1H3"
vitamin K1,57.7,"InChI=1S/C31H46O2/c1-22(2)12-9-13-23(3)14-10-15-24(4)16-11-17-25(5)20-21-27-26(6)30(32)28-18-7-8-19-29(28)31(27)33/h7-8,18-20,22-24H,9-17,21H2,1-6H3"
xanthine,6.015,"InChI=1S/C5H4N4O2/c10-4-2-3(7-1-6-2)8-5(11)9-4/h1H,(H3,6,7,8,9,10,11)"
xylose,1.4,"InChI=1S/C5H10O5/c6-2-1-10-5(9)4(8)3(2)7/h2-9H,1H2"
α-threitol,1.41,"InChI=1S/C4H10O4/c5-1-3(7)4(8)2-6/h3-8H,1-2H2"
"3,4 dihydroxybenzaldehyde",16.2,"InChI=1S/C7H6O3/c8-4-5-1-2-6(9)7(10)3-5/h1-4,9-10H"
cis-acotinic acid,4.4,"InChI=1S/C6H6O6/c7-4(8)1-3(6(11)12)2-5(9)10/h1H,2H2,(H,7,8)(H,9,10)(H,11,12)"
glycolic acid,2.3,"InChI=1S/C2H4O3/c3-1-2(4)5/h3H,1H2,(H,4,5)"
glyoxylic acid,1.3,"InChI=1S/C2H2O3/c3-1-2(4)5/h1H,(H,4,5)"
lignoceric acid,60.2,"InChI=1S/C24H48O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24(25)26/h2-23H2,1H3,(H,25,26)"
oxalic acid,1.3,"InChI=1S/C2H2O4/c3-1(4)2(5)6/h(H,3,4)(H,5,6)"
Phenyl β-D-glucopyranoside,16.4,"InChI=1S/C12H16O6/c13-6-8-9(14)10(15)11(16)12(18-8)17-7-4-2-1-3-5-7/h1-5,8-16H,6H2"
Sodium Taurodeoxycholate,45.6,"InChI=1S/C26H45NO7S/c1-16(4-7-23(30)27-12-13-34-35(31,32)33)19-5-6-20-24-21(9-11-26(19,20)3)25(2)10-8-18(28)14-17(25)15-22(24)29/h16-22,24,28-29H,4-15H2,1-3H3,(H,27,30)(H,31,32,33)"
epicatechin,20.465,"InChI=1S/C15H14O6/c16-8-4-11(18)9-6-13(20)15(21-14(9)5-8)7-1-2-10(17)12(19)3-7/h1-5,13,15-20H,6H2"
epicatechin gallate,24.720000000000002,"InChI=1S/C22H18O10/c23-11-6-14(25)12-8-19(32-22(30)10-4-16(27)20(29)17(28)5-10)21(31-18(12)7-11)9-1-2-13(24)15(26)3-9/h1-7,19,21,23-29H,8H2"
epigallocatechin,16.505,"InChI=1S/C15H14O7/c16-7-3-9(17)8-5-12(20)15(22-13(8)4-7)6-1-10(18)14(21)11(19)2-6/h1-4,12,15-21H,5H2"
epigallo-catechin gallate,22.2925,"InChI=1S/C22H18O11/c23-10-5-12(24)11-7-18(33-22(31)9-3-15(27)20(30)16(28)4-9)21(32-17(11)6-10)8-1-13(25)19(29)14(26)2-8/h1-6,18,21,23-30H,7H2"
"3,5-dihydroxybenzoic acid",14.3,"InChI=1S/C7H6O4/c8-5-1-4(7(10)11)2-6(9)3-5/h1-3,8-9H,(H,10,11)"
4-hydroxybenzoic acid,17.48,"InChI=1S/C7H6O3/c8-6-3-1-5(2-4-6)7(9)10/h1-4,8H,(H,9,10)"
astringin,22.7,"InChI=1S/C20H22O9/c21-9-16-17(25)18(26)19(27)20(29-16)28-13-6-11(5-12(22)8-13)2-1-10-3-4-14(23)15(24)7-10/h1-8,16-27H,9H2"
caffeic acid+catechin condensation product,26.09,"InChI=1S/C24H20O9/c25-14-3-1-10(5-17(14)28)12-8-21(31)32-20-9-16(27)13-7-19(30)23(33-24(13)22(12)20)11-2-4-15(26)18(29)6-11/h1-6,9,12,19,23,25-30H,7-8H2"
caftaric acid,15.5,"InChI=1S/C13H12O9/c14-7-3-1-6(5-8(7)15)2-4-9(16)22-11(13(20)21)10(17)12(18)19/h1-5,10-11,14-15,17H,(H,18,19)(H,20,21)"
cis-ε-viniferin,33.46,"InChI=1S/C28H22O6/c29-20-7-2-16(3-8-20)1-4-18-11-24(33)15-25-26(18)27(19-12-22(31)14-23(32)13-19)28(34-25)17-5-9-21(30)10-6-17/h1-15,27-33H"
cis-piceid,27.25,"InChI=1S/C20H22O8/c21-10-16-17(24)18(25)19(26)20(28-16)27-15-8-12(7-14(23)9-15)2-1-11-3-5-13(22)6-4-11/h1-9,16-26H,10H2"
cis-resveratrol,30.35,"InChI=1S/C14H12O3/c15-12-5-3-10(4-6-12)1-2-11-7-13(16)9-14(17)8-11/h1-9,15-17H"
ellagic acid,30.2,"InChI=1S/C14H6O8/c15-5-1-3-7-8-4(14(20)22-11(7)9(5)17)2-6(16)10(18)12(8)21-13(3)19/h1-2,15-18H"
epiafzelechin,24.37,"InChI=1S/C15H14O5/c16-9-3-1-8(2-4-9)15-13(19)7-11-12(18)5-10(17)6-14(11)20-15/h1-6,13,15-19H,7H2"
esculetin,20.13,"InChI=1S/C9H6O4/c10-6-3-5-1-2-9(12)13-8(5)4-7(6)11/h1-4,10-11H"
fertaric acid,19.5,"InChI=1S/C14H14O9/c1-22-9-6-7(2-4-8(9)15)3-5-10(16)23-12(14(20)21)11(17)13(18)19/h2-6,11-12,15,17H,1H3,(H,18,19)(H,20,21)"
fraxin,20.87,"InChI=1S/C16H18O10/c1-23-7-4-6-2-3-9(18)25-14(6)15(11(7)20)26-16-13(22)12(21)10(19)8(5-17)24-16/h2-4,8,10,12-13,16-17,19-22H,5H2,1H3"
hesperetin,34.78,"InChI=1S/C16H14O6/c1-21-13-3-2-8(4-10(13)18)14-7-12(20)16-11(19)5-9(17)6-15(16)22-14/h2-6,14,17-19H,7H2,1H3"
methyl gallate,18.2,"InChI=1S/C8H8O5/c1-13-8(12)4-2-5(9)7(11)6(10)3-4/h2-3,9-11H,1H3"
isohopeaphenol,25.89,"InChI=1S/C56H42O12/c57-29-9-1-25(2-10-29)45-47-37(17-33(61)21-41(47)65)53-49-39(19-35(63)23-43(49)67-55(53)27-5-13-31(59)14-6-27)51(45)52-40-20-36(64)24-44-50(40)54(56(68-44)28-7-15-32(60)16-8-28)38-18-34(62)22-42(66)48(38)46(52)26-3-11-30(58)12-4-26/h1-24,45-46,51-66H"
isorhamnetin 3-glucoside,31.529999999999998,"InChI=1S/C22H22O12/c1-31-12-4-8(2-3-10(12)25)20-21(17(28)15-11(26)5-9(24)6-13(15)32-20)34-22-19(30)18(29)16(27)14(7-23)33-22/h2-6,14,16,18-19,22-27,29-30H,7H2,1H3"
isorhamnetin 3-rutinoside,31.7,"InChI=1S/C28H32O16/c1-9-18(32)21(35)23(37)27(41-9)40-8-16-19(33)22(36)24(38)28(43-16)44-26-20(34)17-13(31)6-11(29)7-15(17)42-25(26)10-3-4-12(30)14(5-10)39-2/h3-7,9,16,18-19,21-24,27-33,35-38H,8H2,1-2H3"
isorhapontin,26.13,"InChI=1S/C21H24O9/c1-28-16-8-11(4-5-15(16)24)2-3-12-6-13(23)9-14(7-12)29-21-20(27)19(26)18(25)17(10-22)30-21/h2-9,17-27H,10H2,1H3"
kaempferol 3-glucoside,31.25,"InChI=1S/C21H20O11/c22-7-13-15(26)17(28)18(29)21(31-13)32-20-16(27)14-11(25)5-10(24)6-12(14)30-19(20)8-1-3-9(23)4-2-8/h1-6,13,15,17-18,21-26,28-29H,7H2"
kaempferol 3-rutinoside,31.35,"InChI=1S/C27H30O15/c1-9-17(31)20(34)22(36)26(39-9)38-8-15-18(32)21(35)23(37)27(41-15)42-25-19(33)16-13(30)6-12(29)7-14(16)40-24(25)10-2-4-11(28)5-3-10/h2-7,9,15,17-18,20-23,26-32,34-37H,8H2,1H3"
luteolin 7-glucoside,28.06,"InChI=1S/C21H20O11/c22-7-16-18(27)19(28)20(29)21(32-16)30-9-4-12(25)17-13(26)6-14(31-15(17)5-9)8-1-2-10(23)11(24)3-8/h1-6,16,18-25,27-29H,7H2"
myricetin,30.89,"InChI=1S/C15H10O8/c16-6-3-7(17)11-10(4-6)23-15(14(22)13(11)21)5-1-8(18)12(20)9(19)2-5/h1-4,16-20,22H"
naringenin,33.75,"InChI=1S/C15H12O5/c16-9-3-1-8(2-4-9)13-7-12(19)15-11(18)5-10(17)6-14(15)20-13/h1-6,13,16-18H,7H2"
naringenin 7-glucoside,27.94,"InChI=1S/C21H22O10/c22-8-16-18(26)19(27)20(28)21(31-16)29-11-5-12(24)17-13(25)7-14(30-15(17)6-11)9-1-3-10(23)4-2-9/h1-6,14,16,18-24,26-28H,7-8H2"
o-coumaric acid,28.05,"InChI=1S/C9H8O3/c10-8-4-2-1-3-7(8)5-6-9(11)12/h1-6,10H,(H,11,12)"
oxovitisin A,33.21,"InChI=1S/C25H24O13/c1-33-14-3-9(4-15(34-2)19(14)29)23-24(38-25-22(32)21(31)20(30)16(8-26)37-25)11-7-17(28)35-12-5-10(27)6-13(36-23)18(11)12/h3-7,16,20-22,25-27,29-32H,8H2,1-2H3"
pallidol,25.92,"InChI=1S/C28H22O6/c29-15-5-1-13(2-6-15)23-25-19(9-17(31)11-21(25)33)28-24(14-3-7-16(30)8-4-14)26-20(27(23)28)10-18(32)12-22(26)34/h1-12,23-24,27-34H"
phloridzin,29.6,"InChI=1S/C21H24O10/c22-9-16-18(27)19(28)20(29)21(31-16)30-15-8-12(24)7-14(26)17(15)13(25)6-3-10-1-4-11(23)5-2-10/h1-2,4-5,7-8,16,18-24,26-29H,3,6,9H2"
piceatanol,26.540000000000003,"InChI=1S/C14H12O4/c15-11-5-10(6-12(16)8-11)2-1-9-3-4-13(17)14(18)7-9/h1-8,15-18H"
procyanidin B1,18.1425,"InChI=1S/C30H26O12/c31-13-7-20(37)24-23(8-13)41-29(12-2-4-16(33)19(36)6-12)27(40)26(24)25-21(38)10-17(34)14-9-22(39)28(42-30(14)25)11-1-3-15(32)18(35)5-11/h1-8,10,22,26-29,31-40H,9H2"
pterostilbene,41.38,"InChI=1S/C16H16O3/c1-18-15-9-13(10-16(11-15)19-2)4-3-12-5-7-14(17)8-6-12/h3-11,17H,1-2H3"
quercetin 4'-glucoside,30.4,"InChI=1S/C21H20O12/c22-6-13-15(26)17(28)19(30)21(33-13)32-11-2-1-7(3-9(11)24)20-18(29)16(27)14-10(25)4-8(23)5-12(14)31-20/h1-5,13,15,17,19,21-26,28-30H,6H2"
quercetin 3-sulfate,27.4,"InChI=1S/C15H10O10S/c16-7-4-10(19)12-11(5-7)24-14(6-1-2-8(17)9(18)3-6)15(13(12)20)25-26(21,22)23/h1-5,16-19H,(H,21,22,23)"
quercetin 3-glucoside,29.1,"InChI=1S/C21H20O12/c22-6-12(27)19-16(29)17(30)21(32-19)33-20-15(28)14-11(26)4-8(23)5-13(14)31-18(20)7-1-2-9(24)10(25)3-7/h1-5,12,16-17,19,21-27,29-30H,6H2"
quercetin 3-rutinoside,29.1,"InChI=1S/C27H30O16/c1-8-17(32)20(35)22(37)26(40-8)39-7-15-18(33)21(36)23(38)27(42-15)43-25-19(34)16-13(31)5-10(28)6-14(16)41-24(25)9-2-3-11(29)12(30)4-9/h2-6,8,15,17-18,20-23,26-33,35-38H,7H2,1H3"
syringic acid,21.9,"InChI=1S/C9H10O5/c1-13-6-3-5(9(11)12)4-7(14-2)8(6)10/h3-4,10H,1-2H3,(H,11,12)"
taxifolin,25.27,"InChI=1S/C15H12O7/c16-7-4-10(19)12-11(5-7)22-15(14(21)13(12)20)6-1-2-8(17)9(18)3-6/h1-5,14-19,21H"
trans coutaric acid,17.990000000000002,"InChI=1S/C13H12O8/c14-8-4-1-7(2-5-8)3-6-9(15)21-11(13(19)20)10(16)12(17)18/h1-6,10-11,14,16H,(H,17,18)(H,19,20)"
rhamnazin,42.2,"InChI=1S/C17H14O7/c1-22-9-6-11(19)14-13(7-9)24-17(16(21)15(14)20)8-3-4-10(18)12(5-8)23-2/h3-7,18-19,21H,1-2H3"
naringin,28.6,"InChI=1S/C27H32O14/c1-10-20(32)22(34)24(36)26(37-10)41-25-23(35)21(33)18(9-28)40-27(25)38-13-6-14(30)19-15(31)8-16(39-17(19)7-13)11-2-4-12(29)5-3-11/h2-7,10,16,18,20-30,32-36H,8-9H2,1H3"
methyl-glucuronide,2.4,"InChI=1S/C7H12O7/c1-13-7-4(10)2(8)3(9)5(14-7)6(11)12/h2-5,7-10H,1H3,(H,11,12)"
genipin,24.2,"InChI=1S/C11H14O5/c1-15-10(13)8-5-16-11(14)9-6(4-12)2-3-7(8)9/h2,5,7,9,11-12,14H,3-4H2,1H3"
vitisin A,28.3,"InChI=1S/C26H24O14/c1-35-14-3-9(4-15(36-2)19(14)29)23-24(40-26-22(32)21(31)20(30)17(8-27)39-26)11-7-16(25(33)34)37-12-5-10(28)6-13(38-23)18(11)12/h3-7,17,20-22,26-27,30-32H,8H2,1-2H3,(H2-,28,29,33,34)"
ethyl gallate ,23.02,"InChI=1S/C9H10O5/c1-2-14-9(13)5-3-6(10)8(12)7(11)4-5/h3-4,10-12H,2H2,1H3"
(+)-catechin gallate,25.915000000000003,"InChI=1S/C22H18O10/c23-11-6-18-12(8-17(28)21(31-18)9-1-2-13(24)14(25)3-9)19(7-11)32-22(30)10-4-15(26)20(29)16(27)5-10/h1-7,17,21,23-29H,8H2"
(±)-theaspirane,48.080000000000005,"InChI=1S/C13H22O/c1-10-6-5-8-12(3,4)13(10)9-7-11(2)14-13/h6,11H,5,7-9H2,1-4H3"
(R)-(+)-pulegone,38.9,"InChI=1S/C10H16O/c1-7(2)9-5-4-8(3)6-10(9)11/h8H,4-6H2,1-3H3"
"1,3 diaminopropane ",1.0,InChI=1S/C3H10N2/c4-2-1-3-5/h1-5H2
"1,4-diaminobutane",1.1,InChI=1S/C4H12N2/c5-3-1-2-4-6/h1-6H2
1H-indol-3-ylacetic acid,26.605,"InChI=1S/C10H9NO2/c12-10(13)5-7-6-11-9-4-2-1-3-8(7)9/h1-4,6,11H,5H2,(H,12,13)"
"2,6-dihydroxybenzoic acid",16.9,"InChI=1S/C7H6O4/c8-4-2-1-3-5(9)6(4)7(10)11/h1-3,8-9H,(H,10,11)"
2'-deoxyguanosine-5'-phosphate,7.989999999999999,"InChI=1S/C10H14N5O7P/c11-10-13-8-7(9(17)14-10)12-3-15(8)6-1-4(16)5(22-6)2-21-23(18,19)20/h3-6,16H,1-2H2,(H2,18,19,20)(H3,11,13,14,17)"
2-keto-D-gluconic acid,1.4,"InChI=1S/C6H10O7/c7-1-2(8)3(9)4(10)5(11)6(12)13/h2-4,7-10H,1H2,(H,12,13)"
2-ketoglutaric acid,2.2,"InChI=1S/C5H6O5/c6-3(5(9)10)1-2-4(7)8/h1-2H2,(H,7,8)(H,9,10)"
2-methoxy-4-vinylphenol,31.3,"InChI=1S/C9H10O2/c1-3-7-4-5-8(10)9(6-7)11-2/h3-6,10H,1H2,2H3"
2-methyl butyric acid,22.2,"InChI=1S/C5H10O2/c1-3-4(2)5(6)7/h4H,3H2,1-2H3,(H,6,7)"
2-methylbutylamine,6.5,"InChI=1S/C5H13N/c1-3-5(2)4-6/h5H,3-4,6H2,1-2H3"
2-phenoxyethyl isobutyrate ,40.2,"InChI=1S/C12H16O3/c1-10(2)12(13)15-9-8-14-11-6-4-3-5-7-11/h3-7,10H,8-9H2,1-2H3"
2-pyrrolidinone,5.9,"InChI=1S/C4H7NO/c6-4-2-1-3-5-4/h1-3H2,(H,5,6)"
3-ethoxy-4-hydroxybenzaldehyde,27.25,"InChI=1S/C9H10O3/c1-2-12-9-5-7(6-10)3-4-8(9)11/h3-6,11H,2H2,1H3"
3-hydroxy-3-methyl glutaric acid,7.04,"InChI=1S/C6H10O5/c1-6(11,2-4(7)8)3-5(9)10/h11H,2-3H2,1H3,(H,7,8)(H,9,10)"
3-hydroxybenzaldehyd,20.3,"InChI=1S/C7H6O2/c8-5-6-2-1-3-7(9)4-6/h1-5,9H"
3-methyl indole,34.1,"InChI=1S/C9H9N/c1-7-6-10-9-5-3-2-4-8(7)9/h2-6,10H,1H3"
4-(4-hydroxyphenyl)butan-2-one,24.6,"InChI=1S/C10H12O2/c1-8(11)2-3-9-4-6-10(12)7-5-9/h4-7,12H,2-3H2,1H3"
4-aminobenzoic acid,12.29,"InChI=1S/C7H7NO2/c8-6-3-1-5(2-4-6)7(9)10/h1-4H,8H2,(H,9,10)"
4-dimethylaminocinnamaldehyde,34.5,"InChI=1S/C11H13NO/c1-12(2)11-7-5-10(6-8-11)4-3-9-13/h3-9H,1-2H3"
4-hydroxycoumarin,24.2,"InChI=1S/C9H6O3/c10-7-5-9(11)12-8-4-2-1-3-6(7)8/h1-5,11H"
4-methylumbelliferone,27.81,"InChI=1S/C10H8O3/c1-6-4-10(12)13-9-5-7(11)2-3-8(6)9/h2-5,11H,1H3"
4-stilbenol,41.8,"InChI=1S/C14H12O/c15-14-10-8-13(9-11-14)7-6-12-4-2-1-3-5-12/h1-11,15H"
5-hydroxymethyl-2-furaldehyde,11.94,"InChI=1S/C6H6O3/c7-3-5-1-2-6(4-8)9-5/h1-3,8H,4H2"
5-keto-D-gluconic acid,1.4200000000000002,"InChI=1S/C6H10O7/c7-1-2(8)3(9)4(10)5(11)6(12)13/h3-5,7,9-11H,1H2,(H,12,13)"
5-methyl furfural,20.290000000000003,"InChI=1S/C6H6O2/c1-5-2-3-6(4-7)8-5/h2-4H,1H3"
6-methoxyflavone,42.9,"InChI=1S/C16H12O3/c1-18-12-7-8-15-13(9-12)14(17)10-16(19-15)11-5-3-2-4-6-11/h2-10H,1H3"
abscisic acid,31.3,"InChI=1S/C15H20O4/c1-10(7-13(17)18)5-6-15(19)11(2)8-12(16)9-14(15,3)4/h5-8,19H,9H2,1-4H3,(H,17,18)"
Acetovanillone,23.9,"InChI=1S/C9H10O3/c1-6(10)7-3-4-8(11)9(5-7)12-2/h3-5,11H,1-2H3"
acetylcysteine,7.995,"InChI=1S/C5H9NO3S/c1-3(7)6-4(2-10)5(8)9/h4,10H,2H2,1H3,(H,6,7)(H,8,9)"
adenosine 2'-monophosphate,10.895000000000001,"InChI=1S/C10H14N5O7P/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(22-23(18,19)20)6(17)4(1-16)21-10/h2-4,6-7,10,16-17H,1H2,(H2,11,12,13)(H2,18,19,20)"
adenosine 5′-monophosphate,4.08,"InChI=1S/C10H14N5O7P/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(17)6(16)4(22-10)1-21-23(18,19)20/h2-4,6-7,10,16-17H,1H2,(H2,11,12,13)(H2,18,19,20)"
Adenylosuccinic acid,12.715,"InChI=1S/C14H18N5O11P/c20-7(21)1-5(14(24)25)18-11-8-12(16-3-15-11)19(4-17-8)13-10(23)9(22)6(30-13)2-29-31(26,27)28/h3-6,9-10,13,22-23H,1-2H2,(H,20,21)(H,24,25)(H,15,16,18)(H2,26,27,28)"
adipic acid ,15.5,"InChI=1S/C6H10O4/c7-5(8)3-1-2-4-6(9)10/h1-4H2,(H,7,8)(H,9,10)"
adonitol,1.3816666667,"InChI=1S/C5H12O5/c6-1-3(8)5(10)4(9)2-7/h3-10H,1-2H2"
agmatine,1.1849999999999998,"InChI=1S/C5H14N4/c6-3-1-2-4-9-5(7)8/h1-4,6H2,(H4,7,8,9)"
alanine,0.69,"InChI=1S/C3H7NO2/c1-2(4)3(5)6/h2H,4H2,1H3,(H,5,6)"
allose,1.34875,"InChI=1S/C6H12O6/c7-1-2-3(8)4(9)5(10)6(11)12-2/h2-11H,1H2"
