compound,rt,inchi
adenosine,6.013959622,"InChI=1S/C10H13N5O4/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(18)6(17)4(1-16)19-10/h2-4,6-7,10,16-18H,1H2,(H2,11,12,13)"
methyl L-tyrosinate,10.68600204,"InChI=1S/C10H13NO3/c1-14-10(13)9(11)6-7-2-4-8(12)5-3-7/h2-5,9,12H,6,11H2,1H3"
6-phospho-D-gluconic acid,1.545187344,"InChI=1S/C6H13O10P/c7-2(1-16-17(13,14)15)3(8)4(9)5(10)6(11)12/h2-5,7-10H,1H2,(H,11,12)(H2,13,14,15)"
D-erythrose,1.671805598,"InChI=1S/C4H8O4/c5-1-3(7)4(8)2-6/h1,3-4,6-8H,2H2"
botrydial,13.46705305,"InChI=1S/C17H26O5/c1-10-6-13(22-11(2)20)14-15(3,4)8-16(5,9-19)17(14,21)12(10)7-18/h7,9-10,12-14,21H,6,8H2,1-5H3"
sucrose 6(F)-phosphate,1.810479786,"InChI=1S/C12H23O14P/c13-1-4-6(15)8(17)9(18)11(24-4)26-12(3-14)10(19)7(16)5(25-12)2-23-27(20,21)22/h4-11,13-19H,1-3H2,(H2,20,21,22)"
xanthine-8-carboxylic acid,4.713391368,"InChI=1S/C6H4N4O4/c11-4-1-2(9-6(14)10-4)8-3(7-1)5(12)13/h(H,12,13)(H3,7,8,9,10,11,14)"
1-kestose,1.875713244,"InChI=1S/C18H32O16/c19-1-6-9(23)12(26)13(27)16(31-6)34-18(15(29)11(25)8(3-21)33-18)5-30-17(4-22)14(28)10(24)7(2-20)32-17/h6-16,19-29H,1-5H2"
2-C-methyl-D-erythritol 4-(dihydrogen phosphate),1.636887717,"InChI=1S/C5H13O7P/c1-5(8,3-6)4(7)2-12-13(9,10)11/h4,6-8H,2-3H2,1H3,(H2,9,10,11)"
fumaric acid,2.4635735789999997,"InChI=1S/C4H4O4/c5-3(6)1-2-4(7)8/h1-2H,(H,5,6)(H,7,8)"
4-coumaric acid,8.991250533999999,"InChI=1S/C9H8O3/c10-8-4-1-7(2-5-8)3-6-9(11)12/h1-6,10H,(H,11,12)"
cis-aconitic acid,4.461383991,"InChI=1S/C6H6O6/c7-4(8)1-3(6(11)12)2-5(9)10/h1H,2H2,(H,7,8)(H,9,10)(H,11,12)"
diphosphate(4-),1.474684685,"InChI=1S/H4O7P2/c1-8(2,3)7-9(4,5)6/h(H2,1,2,3)(H2,4,5,6)"
chlorogenic acid,9.089816471,"InChI=1S/C16H18O9/c17-9-3-1-8(5-10(9)18)2-4-13(20)25-12-7-16(24,15(22)23)6-11(19)14(12)21/h1-5,11-12,14,17-19,21,24H,6-7H2,(H,22,23)"
4-hydroxybenzoic acid,9.876777655,"InChI=1S/C7H6O3/c8-6-3-1-5(2-4-6)7(9)10/h1-4,8H,(H,9,10)"
"cis-2-hydroxypenta-2,4-dienoic acid",1.67633442,"InChI=1S/C5H6O3/c1-2-3-4(6)5(7)8/h2-3,6H,1H2,(H,7,8)"
4-hydroxycinnamyl alcohol,1.6159215340000002,"InChI=1S/C9H10O2/c10-7-1-2-8-3-5-9(11)6-4-8/h1-6,10-11H,7H2"
(+)-abscisic acid,10.12752487,"InChI=1S/C15H20O4/c1-10(7-13(17)18)5-6-15(19)11(2)8-12(16)9-14(15,3)4/h5-8,19H,9H2,1-4H3,(H,17,18)"
dimethylmaleate(2-),1.674785557,"InChI=1S/C6H8O4/c1-3(5(7)8)4(2)6(9)10/h1-2H3,(H,7,8)(H,9,10)"
"cis-1,2-dihydroxy-1,2-dihydrodibenzothiophene",1.6373952600000001,"InChI=1S/C12H10O2S/c13-8-5-6-10-11(12(8)14)7-3-1-2-4-9(7)15-10/h1-6,8,12-14H"
D-xylonic acid,1.6864489360000001,"InChI=1S/C5H10O6/c6-1-2(7)3(8)4(9)5(10)11/h2-4,6-9H,1H2,(H,10,11)"
L-alanine,1.440145115,"InChI=1S/C3H7NO2/c1-2(4)3(5)6/h2H,4H2,1H3,(H,5,6)"
4-O-beta-D-glucosyl-4-coumaric acid,9.106362803,"InChI=1S/C15H18O8/c16-7-10-12(19)13(20)14(21)15(23-10)22-9-4-1-8(2-5-9)3-6-11(17)18/h1-6,10,12-16,19-21H,7H2,(H,17,18)"
citric acid,4.471843848000001,"InChI=1S/C6H8O7/c7-3(8)1-6(13,5(11)12)2-4(9)10/h13H,1-2H2,(H,7,8)(H,9,10)(H,11,12)"
malic acid,2.440801484,"InChI=1S/C4H6O5/c5-2(4(8)9)1-3(6)7/h2,5H,1H2,(H,6,7)(H,8,9)"
(R)-3-hydroxy-2-oxo-4-phosphonooxybutanoic acid,9.296789157000001,"InChI=1S/C4H7O8P/c5-2(3(6)4(7)8)1-12-13(9,10)11/h2,5H,1H2,(H,7,8)(H2,9,10,11)"
malonic acid,2.640487964,"InChI=1S/C3H4O4/c4-2(5)1-3(6)7/h1H2,(H,4,5)(H,6,7)"
glutamine,1.541746895,"InChI=1S/C5H10N2O3/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H2,7,8)(H,9,10)"
S-adenosyl-L-homocysteine,1.924336166,"InChI=1S/C14H20N6O5S/c15-6(14(23)24)1-2-26-3-7-9(21)10(22)13(25-7)20-5-19-8-11(16)17-4-18-12(8)20/h4-7,9-10,13,21-22H,1-3,15H2,(H,23,24)(H2,16,17,18)"
arginine,1.4441728580000002,"InChI=1S/C6H14N4O2/c7-4(5(11)12)2-1-3-10-6(8)9/h4H,1-3,7H2,(H,11,12)(H4,8,9,10)"
(+)-quinic acid,1.9240835479999998,"InChI=1S/C7H12O6/c8-3-1-7(13,6(11)12)2-4(9)5(3)10/h3-5,8-10,13H,1-2H2,(H,11,12)"
Glucuronic Acid,1.614953228,"InChI=1S/C6H10O7/c7-1-2(8)4(5(10)11)13-6(12)3(1)9/h1-4,6-9,12H,(H,10,11)"
D-mannose 6-phosphate,1.549421908,"InChI=1S/C6H13O9P/c7-3-2(1-14-16(11,12)13)15-6(10)5(9)4(3)8/h2-10H,1H2,(H2,11,12,13)"
jatrophone ,10.184272349999999,"InChI=1S/C20H24O3/c1-12-8-15-9-13(2)16(21)6-7-19(4,5)11-17-14(3)18(22)20(15,10-12)23-17/h6-9,12H,10-11H2,1-5H3"
Benzo[c]chromen-6-one,4.3548566730000005,InChI=1S/C13H8O2/c14-13-6-5-11-7-9-3-1-2-4-10(9)8-12(11)15-13/h1-8H
glucarate(1-),1.570407051,"InChI=1S/C6H10O8/c7-1(3(9)5(11)12)2(8)4(10)6(13)14/h1-4,7-10H,(H,11,12)(H,13,14)"
isopimpinellin ,1.660964377,"InChI=1S/C13H10O5/c1-15-10-7-3-4-9(14)18-12(7)13(16-2)11-8(10)5-6-17-11/h3-6H,1-2H3"
norethindrone acetate,10.48096976,"InChI=1S/C22H28O3/c1-4-22(25-14(2)23)12-10-20-19-7-5-15-13-16(24)6-8-17(15)18(19)9-11-21(20,22)3/h1,13,17-20H,5-12H2,2-3H3"
AC1L9CQ2 ,11.58590932,"InChI=1S/C17H26O4/c1-12(18)21-14(2,3)13-6-7-15(4)11-20-16(5)8-9-19-17(15,16)10-13/h8-9,13H,6-7,10-11H2,1-5H3"
Caffeic acid 3-glucoside,8.956193413,"InChI=1S/C15H18O9/c16-6-10-12(20)13(21)14(22)15(24-10)23-9-5-7(1-3-8(9)17)2-4-11(18)19/h1-5,10,12-17,20-22H,6H2,(H,18,19)"
thiarubrine A,1.970297383,"InChI=1S/C13H8S2/c1-3-5-6-7-9-13-11-10-12(8-4-2)14-15-13/h3,10-11H,1H2,2H3"
epithienamycin E,4.427870275999999,"InChI=1S/C13H16N2O8S2/c1-6(23-25(20,21)22)10-8-5-9(24-4-3-14-7(2)16)11(13(18)19)15(8)12(10)17/h3-4,6,8,10H,5H2,1-2H3,(H,14,16)(H,18,19)(H,20,21,22)"
lyxose ,2.1101492580000003,"InChI=1S/C5H10O5/c6-1-3(8)5(10)4(9)2-7/h1,3-5,7-10H,2H2"
3-cyanoalanine,1.506742082,"InChI=1S/C4H6N2O2/c5-2-1-3(6)4(7)8/h3H,1,6H2,(H,7,8)"
methionine sulfone,1.899016726,"InChI=1S/C5H11NO4S/c1-11(9,10)3-2-4(6)5(7)8/h4H,2-3,6H2,1H3,(H,7,8)"
D-arabinose,2.0197517599999997,"InChI=1S/C5H10O5/c6-2-1-10-5(9)4(8)3(2)7/h2-9H,1H2"
digalacturonic acid,1.580914726,"InChI=1S/C12H18O13/c13-1-2(14)7(9(18)19)25-12(5(1)17)24-6-3(15)4(16)11(22)23-8(6)10(20)21/h1-8,11-17,22H,(H,18,19)(H,20,21)"
pentaethylene glycol monododecyl ether,11.75495737,"InChI=1S/C22H46O6/c1-2-3-4-5-6-7-8-9-10-11-13-24-15-17-26-19-21-28-22-20-27-18-16-25-14-12-23/h23H,2-22H2,1H3"
