compound,rt,inchi
phloretin,21.06,"InChI=1S/C15H14O5/c16-10-4-1-9(2-5-10)3-6-12(18)15-13(19)7-11(17)8-14(15)20/h1-2,4-5,7-8,16-17,19-20H,3,6H2"
piceatanol,17.88,"InChI=1S/C14H12O4/c15-11-5-10(6-12(16)8-11)2-1-9-3-4-13(17)14(18)7-9/h1-8,15-18H"
procyanidin B1,9.66,"InChI=1S/C30H26O12/c31-13-7-20(37)24-23(8-13)41-29(12-2-4-16(33)19(36)6-12)27(40)26(24)25-21(38)10-17(34)14-9-22(39)28(42-30(14)25)11-1-3-15(32)18(35)5-11/h1-8,10,22,26-29,31-40H,9H2"
pterostilbene,21.89,"InChI=1S/C16H16O3/c1-18-15-9-13(10-16(11-15)19-2)4-3-12-5-7-14(17)8-6-12/h3-11,17H,1-2H3"
"quercetin 3,4'-diglucoside",17.38,"InChI=1S/C27H30O17/c28-6-14-17(33)20(36)22(38)26(42-14)41-12-2-1-8(3-10(12)31)24-25(19(35)16-11(32)4-9(30)5-13(16)40-24)44-27-23(39)21(37)18(34)15(7-29)43-27/h1-5,14-15,17-18,20-23,26-34,36-39H,6-7H2"
quercetin 3-glucuronide,19.91,"InChI=1S/C21H18O13/c22-7-4-10(25)12-11(5-7)32-17(6-1-2-8(23)9(24)3-6)18(13(12)26)33-21-16(29)14(27)15(28)19(34-21)20(30)31/h1-5,14-16,19,21-25,27-29H,(H,30,31)"
quercetin 4'-glucoside,20.37,"InChI=1S/C21H20O12/c22-6-13-15(26)17(28)19(30)21(33-13)32-11-2-1-7(3-9(11)24)20-18(29)16(27)14-10(25)4-8(23)5-12(14)31-20/h1-5,13,15,17,19,21-26,28-30H,6H2"
quercetin 3-sulfate,20.11,"InChI=1S/C15H10O10S/c16-7-4-10(19)12-11(5-7)24-14(6-1-2-8(17)9(18)3-6)15(13(12)20)25-26(21,22)23/h1-5,16-19H,(H,21,22,23)"
quercetin 3-glucoside,20.0,"InChI=1S/C21H20O12/c22-6-12(27)19-16(29)17(30)21(32-19)33-20-15(28)14-11(26)4-8(23)5-13(14)31-18(20)7-1-2-9(24)10(25)3-7/h1-5,12,16-17,19,21-27,29-30H,6H2"
quercetin 3-rutinoside,20.0,"InChI=1S/C27H30O16/c1-8-17(32)20(35)22(37)26(40-8)39-7-15-18(33)21(36)23(38)27(42-15)43-25-19(34)16-13(31)5-10(28)6-14(16)41-24(25)9-2-3-11(29)12(30)4-9/h2-6,8,15,17-18,20-23,26-33,35-38H,7H2,1H3"
syringic acid,13.78,"InChI=1S/C9H10O5/c1-13-6-3-5(9(11)12)4-7(14-2)8(6)10/h3-4,10H,1-2H3,(H,11,12)"
taxifolin,16.82,"InChI=1S/C15H12O7/c16-7-4-10(19)12-11(5-7)22-15(14(21)13(12)20)6-1-2-8(17)9(18)3-6/h1-5,14-19,21H"
trans coutaric acid,10.7,"InChI=1S/C13H12O8/c14-8-4-1-7(2-5-8)3-6-9(15)21-11(13(19)20)10(16)12(17)18/h1-6,10-11,14,16H,(H,17,18)(H,19,20)"
trans-ε-viniferin,20.75625,"InChI=1S/C28H22O6/c29-20-7-2-16(3-8-20)1-4-18-11-24(33)15-25-26(18)27(19-12-22(31)14-23(32)13-19)28(34-25)17-5-9-21(30)10-6-17/h1-15,27-33H"
trilobatin,20.59,"InChI=1S/C21H24O10/c22-8-14-17(27)19(29)20(30)21(31-14)16-13(26)7-12(25)15(18(16)28)11(24)6-3-9-1-4-10(23)5-2-9/h1-2,4-5,7,14,17,19-23,25-30H,3,6,8H2"
rhamnazin,21.959999999999997,"InChI=1S/C17H14O7/c1-22-9-6-11(19)14-13(7-9)24-17(16(21)15(14)20)8-3-4-10(18)12(5-8)23-2/h3-7,18-19,21H,1-2H3"
phenacetin,19.35,"InChI=1S/C10H13NO2/c1-3-13-10-6-4-9(5-7-10)11-8(2)12/h4-7H,3H2,1-2H3,(H,11,12)"
naringin,19.86,"InChI=1S/C27H32O14/c1-10-20(32)22(34)24(36)26(37-10)41-25-23(35)21(33)18(9-28)40-27(25)38-13-6-14(30)19-15(31)8-16(39-17(19)7-13)11-2-4-12(29)5-3-11/h2-7,10,16,18,20-30,32-36H,8-9H2,1H3"
methyl-glucuronide,2.43,"InChI=1S/C7H12O7/c1-13-7-4(10)2(8)3(9)5(14-7)6(11)12/h2-5,7-10H,1H3,(H,11,12)"
genipin,16.06,"InChI=1S/C11H14O5/c1-15-10(13)8-5-16-11(14)9-6(4-12)2-3-7(8)9/h2,5,7,9,11-12,14H,3-4H2,1H3"
vitisin A,19.300344827666667,"InChI=1S/C26H24O14/c1-35-14-3-9(4-15(36-2)19(14)29)23-24(40-26-22(32)21(31)20(30)17(8-27)39-26)11-7-16(25(33)34)37-12-5-10(28)6-13(38-23)18(11)12/h3-7,17,20-22,26-27,30-32H,8H2,1-2H3,(H2-,28,29,33,34)"
vitisin B,18.348793103333332,"InChI=1S/C25H24O12/c1-32-15-5-10(6-16(33-2)19(15)28)23-24(37-25-22(31)21(30)20(29)17(9-26)36-25)12-3-4-34-13-7-11(27)8-14(35-23)18(12)13/h3-8,17,20-22,25-26,29-31H,9H2,1-2H3,(H-,27,28)"
methylpyrano malvidin 3-glucoside,19.74327586216667,"InChI=1S/C26H26O12/c1-10-4-13-19-14(35-10)7-12(28)8-15(19)36-24(11-5-16(33-2)20(29)17(6-11)34-3)25(13)38-26-23(32)22(31)21(30)18(9-27)37-26/h4-8,18,21-23,26-27,30-32H,9H2,1-3H3,(H-,28,29)"
epigallo-catechin gallate,12.729999999999999,"InChI=1S/C22H18O11/c23-10-5-12(24)11-7-18(33-22(31)9-3-15(27)20(30)16(28)4-9)21(32-17(11)6-10)8-1-13(25)19(29)14(26)2-8/h1-6,18,21,23-30H,7H2"
"3,4-dihydroxybenzoic acid",7.77,"InChI=1S/C7H6O4/c8-5-2-1-4(7(10)11)3-6(5)9/h1-3,8-9H,(H,10,11)"
caffeic acid+catechin condensation product,17.82,"InChI=1S/C24H20O9/c25-14-3-1-10(5-17(14)28)12-8-21(31)32-20-9-16(27)13-7-19(30)23(33-24(13)22(12)20)11-2-4-15(26)18(29)6-11/h1-6,9,12,19,23,25-30H,7-8H2"
ethyl gallate ,15.16,"InChI=1S/C9H10O5/c1-2-14-9(13)5-3-6(10)8(12)7(11)4-5/h3-4,10-12H,2H2,1H3"
isohopeaphenol,10.7,"InChI=1S/C56H42O12/c57-29-9-1-25(2-10-29)45-47-37(17-33(61)21-41(47)65)53-49-39(19-35(63)23-43(49)67-55(53)27-5-13-31(59)14-6-27)51(45)52-40-20-36(64)24-44-50(40)54(56(68-44)28-7-15-32(60)16-8-28)38-18-34(62)22-42(66)48(38)46(52)26-3-11-30(58)12-4-26/h1-24,45-46,51-66H"
L-Arginine,1.2425,"InChI=1S/C6H14N4O2/c7-4(5(11)12)2-1-3-10-6(8)9/h4H,1-3,7H2,(H,11,12)(H4,8,9,10)"
L-tartaric acid,1.46,"InChI=1S/C4H6O6/c5-1(3(7)8)2(6)4(9)10/h1-2,5-6H,(H,7,8)(H,9,10)"
quinic acid,1.5799999999999998,"InChI=1S/C7H12O6/c8-3-1-7(13,6(11)12)2-4(9)5(3)10/h3-5,8-10,13H,1-2H2,(H,11,12)"
succinic acid,3.94,"InChI=1S/C4H6O4/c5-3(6)1-2-4(7)8/h1-2H2,(H,5,6)(H,7,8)"
proprionic acid,3.95,"InChI=1S/C3H6O2/c1-2-3(4)5/h2H2,1H3,(H,4,5)"
citramalic acid,4.02,"InChI=1S/C5H8O5/c1-5(10,4(8)9)2-3(6)7/h10H,2H2,1H3,(H,6,7)(H,8,9)"
L-tyrosine,4.28,"InChI=1S/C9H11NO3/c10-8(9(12)13)5-6-1-3-7(11)4-2-6/h1-4,8,11H,5,10H2,(H,12,13)"
L-isoleucine,4.4399999999999995,"InChI=1S/C6H13NO2/c1-3-4(2)5(7)6(8)9/h4-5H,3,7H2,1-2H3,(H,8,9)"
choline,1.2948275862,"InChI=1S/C5H14NO/c1-6(2,3)4-5-7/h7H,4-5H2,1-3H3"
betaine,1.340862069,"InChI=1S/C5H11NO2/c1-6(2,3)4-5(7)8/h4H2,1-3H3"
L-valine,1.340862069,"InChI=1S/C5H11NO2/c1-3(2)4(6)5(7)8/h3-4H,6H2,1-2H3,(H,7,8)"
L-proline,1.5103448276000002,"InChI=1S/C5H9NO2/c7-5(8)4-2-1-3-6-4/h4,6H,1-3H2,(H,7,8)"
L-glutathione,1.6965517241,"InChI=1S/C10H17N3O6S/c11-5(10(18)19)1-2-7(14)13-6(4-20)9(17)12-3-8(15)16/h5-6,20H,1-4,11H2,(H,12,17)(H,13,14)(H,15,16)(H,18,19)"
uracil,2.3370689655000003,"InChI=1S/C4H4N2O2/c7-3-1-2-5-4(8)6-3/h1-2H,(H2,5,6,7,8)"
uric acid,3.4425862069000006,"InChI=1S/C5H4N4O3/c10-3-1-2(7-4(11)6-1)8-5(12)9-3/h(H4,6,7,8,9,10,11,12)"
xanthine,3.9662068965999997,"InChI=1S/C5H4N4O2/c10-4-2-3(7-1-6-2)8-5(11)9-4/h1H,(H3,6,7,8,9,10,11)"
